"date","hits","keyword","geo","time","gprop","category"
2021-07-04,"<1","election","US","today+5-y","web",0
2021-07-11,"<1","election","US","today+5-y","web",0
2021-07-18,"<1","election","US","today+5-y","web",0
2021-07-25,"<1","election","US","today+5-y","web",0
2021-08-01,"<1","election","US","today+5-y","web",0
2021-08-08,"<1","election","US","today+5-y","web",0
2021-08-15,"<1","election","US","today+5-y","web",0
2021-08-22,"<1","election","US","today+5-y","web",0
2021-08-29,"<1","election","US","today+5-y","web",0
2021-09-05,"<1","election","US","today+5-y","web",0
2021-09-12,"1","election","US","today+5-y","web",0
2021-09-19,"<1","election","US","today+5-y","web",0
2021-09-26,"<1","election","US","today+5-y","web",0
2021-10-03,"<1","election","US","today+5-y","web",0
2021-10-10,"<1","election","US","today+5-y","web",0
2021-10-17,"<1","election","US","today+5-y","web",0
2021-10-24,"<1","election","US","today+5-y","web",0
2021-10-31,"2","election","US","today+5-y","web",0
2021-11-07,"<1","election","US","today+5-y","web",0
2021-11-14,"<1","election","US","today+5-y","web",0
2021-11-21,"<1","election","US","today+5-y","web",0
2021-11-28,"<1","election","US","today+5-y","web",0
2021-12-05,"<1","election","US","today+5-y","web",0
2021-12-12,"<1","election","US","today+5-y","web",0
2021-12-19,"<1","election","US","today+5-y","web",0
2021-12-26,"<1","election","US","today+5-y","web",0
2022-01-02,"<1","election","US","today+5-y","web",0
2022-01-09,"<1","election","US","today+5-y","web",0
2022-01-16,"<1","election","US","today+5-y","web",0
2022-01-23,"<1","election","US","today+5-y","web",0
2022-01-30,"<1","election","US","today+5-y","web",0
2022-02-06,"<1","election","US","today+5-y","web",0
2022-02-13,"<1","election","US","today+5-y","web",0
2022-02-20,"<1","election","US","today+5-y","web",0
2022-02-27,"<1","election","US","today+5-y","web",0
2022-03-06,"<1","election","US","today+5-y","web",0
2022-03-13,"<1","election","US","today+5-y","web",0
2022-03-20,"<1","election","US","today+5-y","web",0
2022-03-27,"<1","election","US","today+5-y","web",0
2022-04-03,"<1","election","US","today+5-y","web",0
2022-04-10,"<1","election","US","today+5-y","web",0
2022-04-17,"<1","election","US","today+5-y","web",0
2022-04-24,"<1","election","US","today+5-y","web",0
2022-05-01,"<1","election","US","today+5-y","web",0
2022-05-08,"<1","election","US","today+5-y","web",0
2022-05-15,"<1","election","US","today+5-y","web",0
2022-05-22,"<1","election","US","today+5-y","web",0
2022-05-29,"<1","election","US","today+5-y","web",0
2022-06-05,"<1","election","US","today+5-y","web",0
2022-06-12,"<1","election","US","today+5-y","web",0
2022-06-19,"<1","election","US","today+5-y","web",0
2022-06-26,"<1","election","US","today+5-y","web",0
2022-07-03,"<1","election","US","today+5-y","web",0
2022-07-10,"<1","election","US","today+5-y","web",0
2022-07-17,"<1","election","US","today+5-y","web",0
2022-07-24,"<1","election","US","today+5-y","web",0
2022-07-31,"<1","election","US","today+5-y","web",0
2022-08-07,"<1","election","US","today+5-y","web",0
2022-08-14,"<1","election","US","today+5-y","web",0
2022-08-21,"<1","election","US","today+5-y","web",0
2022-08-28,"<1","election","US","today+5-y","web",0
2022-09-04,"<1","election","US","today+5-y","web",0
2022-09-11,"<1","election","US","today+5-y","web",0
2022-09-18,"<1","election","US","today+5-y","web",0
2022-09-25,"<1","election","US","today+5-y","web",0
2022-10-02,"<1","election","US","today+5-y","web",0
2022-10-09,"<1","election","US","today+5-y","web",0
2022-10-16,"<1","election","US","today+5-y","web",0
2022-10-23,"<1","election","US","today+5-y","web",0
2022-10-30,"1","election","US","today+5-y","web",0
2022-11-06,"11","election","US","today+5-y","web",0
2022-11-13,"3","election","US","today+5-y","web",0
2022-11-20,"<1","election","US","today+5-y","web",0
2022-11-27,"<1","election","US","today+5-y","web",0
2022-12-04,"<1","election","US","today+5-y","web",0
2022-12-11,"<1","election","US","today+5-y","web",0
2022-12-18,"<1","election","US","today+5-y","web",0
2022-12-25,"<1","election","US","today+5-y","web",0
2023-01-01,"<1","election","US","today+5-y","web",0
2023-01-08,"<1","election","US","today+5-y","web",0
2023-01-15,"<1","election","US","today+5-y","web",0
2023-01-22,"<1","election","US","today+5-y","web",0
2023-01-29,"<1","election","US","today+5-y","web",0
2023-02-05,"<1","election","US","today+5-y","web",0
2023-02-12,"<1","election","US","today+5-y","web",0
2023-02-19,"<1","election","US","today+5-y","web",0
2023-02-26,"<1","election","US","today+5-y","web",0
2023-03-05,"<1","election","US","today+5-y","web",0
2023-03-12,"<1","election","US","today+5-y","web",0
2023-03-19,"<1","election","US","today+5-y","web",0
2023-03-26,"<1","election","US","today+5-y","web",0
2023-04-02,"<1","election","US","today+5-y","web",0
2023-04-09,"<1","election","US","today+5-y","web",0
2023-04-16,"<1","election","US","today+5-y","web",0
2023-04-23,"<1","election","US","today+5-y","web",0
2023-04-30,"<1","election","US","today+5-y","web",0
2023-05-07,"<1","election","US","today+5-y","web",0
